p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
8.90112699863592e-59	4.81223288732643	0.024	0.001	1.67154263907384e-54	5	Sv2a
1.05566896620623e-44	4.9296521731853	0.012	0	1.98244075163869e-40	6	Gm3776
0	4.68081001837364	0.316	0.026	0	6	Gsta4
5.62912266547986e-20	4.32366007611147	0.011	0.001	1.05709294535046e-15	6	Speg
1.24846887696313e-121	4.28044417156475	0.063	0.004	2.34449970404906e-117	6	Gm36372
5.44651173311844e-306	4.2760995116499	0.172	0.014	1.02280043836231e-301	6	Gm10639
1.97495707098729e-111	4.03595885859509	0.056	0.004	3.70877188360703e-107	6	Fabp1
9.4619994212791e-32	4.02450876437356	0.017	0.001	1.776868871322e-27	6	Tmsb15b1
4.4684473368216e-88	3.94570174323238	0.045	0.003	8.39129725381727e-84	6	Gm15883
2.24274846594173e-44	3.79042829912746	0.026	0.002	4.21165734419197e-40	6	9230105E05Rik
5.18407610098967e-111	3.73840768689413	0.117	0.02	9.7351765100485e-107	6	Mt2
3.77133511262031e-291	9.68947285761344	0.064	0	7.08219020798969e-287	7	2010005H15Rik
2.51497660194866e-287	8.7758126029741	0.064	0	4.72287456079939e-283	7	Wasf3
1.17363550098815e-95	8.57271061326236	0.022	0	2.20397010730565e-91	7	2310008N11Rik
3.25131356336047e-197	8.09815701526476	0.046	0	6.10564174063463e-193	7	Gm5662
1.75730037410121e-69	7.89189264148179	0.016	0	3.30003437252466e-65	7	Gm2016
1.4187075718521e-73	7.70913388918146	0.018	0	2.66419094918105e-69	7	Eva1c
2.92974582304616e-122	7.70755037421617	0.029	0	5.50176968109838e-118	7	Gm15687
3.79576744725867e-92	7.66295080444318	0.022	0	7.12807168920705e-88	7	Chrdl1
1.39686612867506e-54	7.55881872640003	0.013	0	2.6231749030389e-50	7	Tprg
0	7.4721479980635	0.355	0.003	0	7	Methig1
6.58941243018614e-06	1.25461518706292	0.064	0.039	0.123742576026466	8	Cyp2a5
5.55022792582726e-237	1.22521006956923	0.939	0.825	1.0422773021911e-232	8	mt-Nd4l
0	1.22389678999336	1	0.999	0	8	mt-Atp6
0	1.18266884489341	1	0.998	0	8	mt-Co3
1.56141323661799e-196	1.18117313754684	0.928	0.82	2.93217791704493e-192	8	mt-Nd3
0	1.17534409838988	1	0.995	0	8	mt-Co2
0	1.15226012979503	1	0.993	0	8	mt-Nd4
0	1.15190849191109	1	0.994	0	8	mt-Cytb
1.33547418240531e-199	1.14912553139007	0.937	0.813	2.50788696713893e-195	8	mt-Atp8
8.4597689677696e-17	1.14246354371328	0.288	0.213	1.58866001445745e-12	8	mt-Nd6
1.11796190063228e-05	2.13759931865428	0.011	0.003	0.209942065319737	9	Nutf2-ps1
8.8216054358923e-06	1.72011729201564	0.011	0.003	0.165660928480621	9	Naip2
9.89489587571338e-06	1.59933245203037	0.018	0.006	0.185816249650021	9	Gm13412
0.000267218574468779	1.57337548127941	0.015	0.006	1	9	Gm14325
4.96810517755548e-05	1.54758926197691	0.013	0.005	0.932960471293143	9	Pla2g2c
0.00663511592798522	1.50650314216694	0.012	0.006	1	9	Gm17669
1.06664655569317e-49	1.45703862022726	0.158	0.052	2.00305556693621e-45	9	Gm48281
0.00118293824118243	1.42181720623631	0.013	0.006	1	9	0610025J13Rik
2.78524877850335e-06	1.41859758444935	0.021	0.008	0.0523041868115145	9	9130204K15Rik
0.00422458446075378	1.41032473103316	0.011	0.005	1	9	Gm44148
4.49667438942503e-49	8.33229865906137	0.012	0	8.44430483590126e-45	10	Arhgap8
1.14519286138416e-30	7.30168523058326	0.012	0	2.15055767439332e-26	10	Eno2
2.10134301793703e-52	6.41341610339106	0.021	0	3.94611205338396e-48	10	Adgrg3
3.73576501630064e-86	6.19358200963347	0.046	0.001	7.01539312411096e-82	10	Aoc1
3.17433362953809e-173	6.13969994321338	0.098	0.002	5.96108112290959e-169	10	Cxcl10
2.66584135609639e-81	5.98235324808757	0.034	0	5.00618348261341e-77	10	F830016B08Rik
1.08397631708962e-45	5.71910314162432	0.021	0	2.03559912586259e-41	10	Gbp6
1.35427452452564e-35	5.56135699530601	0.027	0.001	2.54319212960669e-31	10	Tgtp1
7.32370008899256e-148	5.53500087970649	0.091	0.003	1.37531763971191e-143	10	Iigp1
