p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.55317770623041e-06	0.761422227537726	0.056	0.031	0.0291671241453008	7	Echdc3
1.56436483715583e-06	0.290705292801635	0.319	0.253	0.0293772072769494	7	Chmp2a
1.62653184317616e-06	0.267817897956472	0.242	0.183	0.030544641483005	7	Tmem160
1.74285510189198e-06	0.452744491087838	0.114	0.076	0.0327290759584296	7	Tmed5
1.75631710549654e-06	0.374037817337353	0.257	0.201	0.0329818789241195	7	Ergic3
1.77661631853261e-06	0.287702003835263	0.297	0.233	0.0333630778457239	7	Drap1
1.79863395925004e-06	0.863116756199062	0.063	0.036	0.0337765471207564	7	Slc52a3
1.83840747157991e-06	0.453876454629489	0.17	0.123	0.0345234539087991	7	Impad1
1.94790130162291e-06	0.872051011133613	0.046	0.024	0.0365796385431767	7	Golim4
1.96190112516387e-06	0.504689440776066	0.067	0.039	0.0368425412294523	7	Nipsnap3b
1.97660046583978e-06	0.297603517697355	0.254	0.195	0.0371185801480053	7	Acadl
2.04499922995842e-06	0.415813708761708	0.133	0.091	0.0384030405393891	7	Zfp664
2.04624595667891e-06	0.262713115739565	0.325	0.259	0.0384264528204733	7	Pdia3
2.11402953619504e-06	0.309687693560226	0.322	0.261	0.0396993606602067	7	1110008P14Rik
2.17234171105425e-06	1.46384104097655	0.014	0.004	0.0407944049918877	7	Ccdc120
2.18404255574202e-06	0.601111395022109	0.105	0.069	0.0410141351542794	7	Agfg1
2.21271769461173e-06	0.426716612566939	0.146	0.103	0.0415526255871137	7	Glb1
2.21772703043751e-06	0.328420116531144	0.329	0.265	0.041646695904586	7	Pkig
2.22147292137341e-06	0.251490611502757	0.26	0.198	0.0417170399904713	7	Anapc16
2.2277478974444e-06	1.27643442973937	0.01	0.002	0.0418348777661083	7	Slc22a27
2.31543751926013e-06	1.78492592778067	0.014	0.005	0.043481601174186	7	Ccdc92
2.35406239867968e-06	0.329353531577915	0.259	0.202	0.0442069377848057	7	Proc
2.38573255408205e-06	0.297672927953115	0.158	0.112	0.0448016716331068	7	Vps36
2.64259293136039e-06	0.274095845357972	0.349	0.282	0.0496252526580168	7	Arpc5l
2.65998988322359e-06	0.541868189638115	0.124	0.085	0.0499519500170559	7	Hist1h4i
2.73725188507793e-06	0.378135107471231	0.184	0.135	0.0514028531498784	7	Cnih4
2.76341658718867e-06	0.250062753482984	0.321	0.257	0.0518942000908159	7	Nfib
2.89539312297242e-06	1.8775868337795	0.014	0.005	0.0543725874562992	7	Gbp8
2.91291795964857e-06	0.518848884118372	0.077	0.047	0.0547016863642405	7	Ptpn3
2.94932988733942e-06	0.291051250992028	0.485	0.419	0.0553854659543469	7	H2afz
2.95522021121159e-06	0.292441334543414	0.222	0.168	0.0554960803463425	7	Erbin
2.97156387330583e-06	2.04717631113118	0.01	0.002	0.0558029979768101	7	1190005I06Rik
2.99624736624117e-06	0.58805165262434	0.095	0.061	0.0562665292906429	7	Cmas
3.07984642713146e-06	0.316064340355923	0.215	0.161	0.0578364360551016	7	Hmg20b
3.10897272434975e-06	0.363887885534814	0.246	0.191	0.058383398790564	7	Mrpl58
