p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.92384788001216	0.077	0.001	0	8	Ifng
4.02529998090754e-235	5.71035700103225	0.026	0.001	7.55911083414627e-231	8	F2rl2
0	9.68414225436839	0.033	0	0	9	Gm45650
0	8.88233146704361	0.047	0	0	9	Nos1
4.06695117066636e-218	8.79551338379673	0.015	0	7.63732760339436e-214	9	Ndst4
3.03471603720178e-219	8.69083735547505	0.015	0	5.69889324626123e-215	9	Pappa2
1.05216014424969e-159	8.67607225213896	0.011	0	1.9758515348865e-155	9	Gm6878
0	8.52846315557875	0.209	0.001	0	9	Cldn16
0	8.29891859091758	0.899	0.019	0	9	Slc12a1
0	8.14037272404727	0.041	0	0	9	Kcnt1
0	8.06662910048106	0.157	0.001	0	9	Tmem207
1.93687824259e-286	7.94931272887056	0.021	0	3.63726365175977e-282	9	Tenm2
5.96360841065603e-240	12.5727053467766	0.015	0	1.1199060234371e-235	10	Cd300ld3
2.14455422727885e-303	12.1285402545265	0.018	0	4.02725838340695e-299	10	P2ry13
6.99846549121077e-248	11.5498442502629	0.015	0	1.31424183459447e-243	10	Spink2
3.14825638583186e-208	11.505537073078	0.013	0	5.91211066695365e-204	10	Vnn3
3.69242707441067e-216	11.1996388532655	0.013	0	6.93400880303581e-212	10	Cacna1f
1.82789725890019e-295	11.0675049602765	0.018	0	3.43260826248867e-291	10	Htr7
1.21922815743162e-160	10.7935501246258	0.01	0	2.28958855684084e-156	10	Gsg1
0	10.7859136145207	0.024	0	0	10	Mmp13
3.78562953778594e-204	10.5024590152715	0.015	0	7.10903370900821e-200	10	Cxcl9
0	10.5014830738524	0.023	0	0	10	Cyp2ab1
3.81393009420515e-197	6.52924807142753	0.019	0	7.16217932390786e-193	11	Grin2c
1.72029228058391e-201	5.85680014953165	0.021	0	3.23053687370853e-197	11	Klk1b16
0	5.73212540356022	0.174	0.004	0	11	Slc8a1
0	5.66641664317367	0.262	0.006	0	11	Trpv5
0	5.61470183077262	0.979	0.187	0	11	Klk1
0	5.51869446352523	0.102	0.002	0	11	Klk1b9
3.34136596282435e-319	5.39053167639645	0.039	0.001	6.27475114158785e-315	11	Llcfc1
7.77199374454149e-216	5.26499558341452	0.03	0.001	1.45950270528745e-211	11	Klk1b11
0	5.15068330556052	0.366	0.013	0	11	Ltc4s
1.09462310760391e-59	5.13901777625729	0.01	0	2.05559273376938e-55	11	Klk1b21
0	13.8566468274154	0.026	0	0	12	Tcf15
1.11075497397027e-191	12.7521568091427	0.011	0	2.08588676561878e-187	12	Gm30382
1.59001193433599e-180	12.5636151392313	0.011	0	2.98588341148956e-176	12	Erg
