cluster	gene	avg_expr
g20	Atp6v0d2	0.0219840643276143
g21	Ccl5	21.7106580991887
g21	Gzma	11.7010962584677
g21	Slc12a3	2.16702569471333
g21	Cd3e	1.69387573026616
g21	Cd8b1	1.44657459376892
g21	Fcer1g	1.26888415616882
g21	Cd8a	0.708711427467192
g21	Cd7	0.677109843412685
g21	Ncr1	0.588963203006336
g21	Tcf7	0.588521840570854
g22	Il7r	8.4478378701416
g22	Cd3e	6.93218210374674
g22	Cd7	2.81486302487876
g22	Ccl5	2.10194393989061
g22	Tcf7	1.08265101233909
g22	Il17re	1.02263505657993
g22	Ccr6	0.850127187997296
g22	Cd79b	0.770359377555977
g22	Fcer1g	0.268458055548017
g22	Gzma	0.225011030805928
g23	Fcer1g	15.5852510558676
g23	Cd209a	5.89510359510667
g23	Cd7	3.29231197505236
g23	Clec10a	2.22242120979165
g23	Slc12a3	1.4799275230858
g23	Ccl5	0.599819643987071
g23	Il7r	0.555246942891226
g23	F13a1	0.382408198384841
g23	Ccl4	0.274241767164111
g23	Cd3e	0.245419892929611
g24	Nphs1	21.6322114475902
g24	Slc12a3	0.921919550748528
g24	Emcn	0.30873873788714
g24	Ccl5	0.168957169652521
g24	Slc12a1	0.0889213472485729
g24	Fcer1g	0.0565767661851984
g24	Aqp6	0.0564588979223126
g24	Il7r	0.0420666504008952
g24	Cox6a2	0.0307657428171537
g24	Tcf7	0.0280444336005968
g25	Ccl4	46.5024983569758
g25	Fcer1g	19.4126726197482
g25	Cd7	14.5146715027118
g25	Mcpt8	7.3838266917974
g25	Cd200r3	5.81383685185375
g25	Fcer1a	5.76907804496805
g25	Ccl5	4.57720556330758
g25	Il7r	2.69674612373251
g25	Slc12a3	0.5126632888644
g25	Cd3e	0.317406906028192
g26	Siglech	14.363559680226
g26	Cox6a2	13.9537493202921
g26	Fcer1g	9.82457182882484
g26	Cd7	4.5245048288826
g26	Il7r	2.39432951247463
g26	Cd300c	2.33409889850482
g26	Cd209a	1.82412150968983
g26	Ccl4	1.80092129987884
g26	Clec10a	1.58430211827601
g26	Cd8b1	1.36740591518119
