cell_type	cluster	score	n_markers_used
Mono	g19	0.0916518974133909	1
Mono	g20	0	1
Mono	g21	0	1
Mono	g22	0.096562169103224	1
Mono	g23	0.382408198384841	1
Mono	g24	0	1
Mono	g25	0.0149411170576757	1
Mono	g26	0	1
DC	g0	0	2
DC	g1	0.00698545840756535	2
DC	g2	0	2
DC	g3	0.000258886324878727	2
DC	g4	0	2
DC	g5	0.00715225955329936	2
DC	g6	0	2
DC	g7	0.247400359664056	2
DC	g8	0	2
DC	g9	0.00515082541183821	2
DC	g10	0.00355736174669308	2
DC	g11	0.000791043113748203	2
DC	g12	0	2
DC	g13	0.00617376938254898	2
DC	g14	0	2
DC	g15	0.00819133651484843	2
DC	g16	0	2
DC	g17	0.00371804710319514	2
DC	g18	0.0030505066281408	2
DC	g19	0.290754252450358	2
DC	g20	0	2
DC	g21	0.0382600844017462	2
DC	g22	0	2
DC	g23	4.05876240244916	2
DC	g24	0	2
DC	g25	0	2
DC	g26	1.70421181398292	2
Macro	g0	0.00145316019216518	3
Macro	g1	0.0116013553273164	3
Macro	g2	0.0176142870220156	3
Macro	g3	0.0118360735162058	3
Macro	g4	0.00353646931681371	3
Macro	g5	0.00332219225623566	3
Macro	g6	0.0349818483375326	3
Macro	g7	0.96623807096064	3
Macro	g8	0	3
Macro	g9	0.0152602639485338	3
Macro	g10	0.0109664045301303	3
Macro	g11	0.00245100299748105	3
Macro	g12	0.00320182405401932	3
Macro	g13	0.000497132465369877	3
Macro	g14	0.0281769597089435	3
Macro	g15	0.0192353650840833	3
Macro	g16	0.0287422876894691	3
Macro	g17	0.0193425478011528	3
Macro	g18	0	3
Macro	g19	25.654052529309	3
Macro	g20	0.0188998491335774	3
Macro	g21	0	3
Macro	g22	0.0321873897010747	3
Macro	g23	0.151325801725123	3
Macro	g24	0	3
Macro	g25	0.0110681854031252	3
Macro	g26	0.00569605832763727	3
pDC	g0	0	1
pDC	g1	0	1
pDC	g2	0	1
pDC	g3	0	1
pDC	g4	0.00715479543008906	1
pDC	g5	0	1
pDC	g6	0	1
pDC	g7	0.00659877843413627	1
pDC	g8	0.0036823460963449	1
pDC	g9	0.00888978198662844	1
pDC	g10	0.0180604519447495	1
pDC	g11	0	1
pDC	g12	0.0128606115478003	1
pDC	g13	0	1
pDC	g14	0	1
pDC	g15	0	1
pDC	g16	0	1
pDC	g17	0.0223082826191708	1
pDC	g18	0	1
pDC	g19	0.0238522161504616	1
pDC	g20	0	1
pDC	g21	0	1
pDC	g22	0	1
pDC	g23	0.180426082037681	1
pDC	g24	0	1
pDC	g25	0	1
pDC	g26	14.363559680226	1
Baso	g0	0	2
Baso	g1	0	2
Baso	g2	0	2
Baso	g3	0	2
Baso	g4	0	2
Baso	g5	0.00173995350844225	2
Baso	g6	0	2
Baso	g7	0	2
Baso	g8	0	2
Baso	g9	0	2
Baso	g10	0	2
Baso	g11	0	2
Baso	g12	0	2
Baso	g13	0	2
Baso	g14	0	2
Baso	g15	0	2
Baso	g16	0	2
Baso	g17	0	2
Baso	g18	0	2
Baso	g19	0	2
Baso	g20	0	2
Baso	g21	0	2
Baso	g22	0	2
Baso	g23	0	2
Baso	g24	0	2
Baso	g25	6.57645236838272	2
Baso	g26	0	2
B_Cell	g0	0.00118700908076647	2
B_Cell	g1	0.0208544836563586	2
B_Cell	g2	0.00659099945687624	2
B_Cell	g3	0.00120382141068608	2
B_Cell	g4	0.00121201963120777	2
B_Cell	g5	0.0148027456227944	2
B_Cell	g6	0.00406116904815116	2
B_Cell	g7	0.0607823228626212	2
B_Cell	g8	0.0196445145567852	2
B_Cell	g9	0.0278565901288101	2
B_Cell	g10	0.00615057567149317	2
B_Cell	g11	0	2
B_Cell	g12	0.00465897761760568	2
B_Cell	g13	0.0109059046170602	2
B_Cell	g14	0.0468035616284401	2
B_Cell	g15	0.0180479604682598	2
B_Cell	g16	0.00729266022495787	2
B_Cell	g17	12.7261830829432	2
B_Cell	g18	0.0354940892422669	2
B_Cell	g19	0.264898034779538	2
B_Cell	g20	0.0281995076018307	2
B_Cell	g21	0.0119975101229111	2
B_Cell	g22	0.385179688777988	2
B_Cell	g23	0.0736144077529044	2
B_Cell	g24	0	2
B_Cell	g25	0.013347428217531	2
B_Cell	g26	0.2275467091773	2
CD4_T	g0	0.00460894509803408	2
CD4_T	g1	6.18152998364592	2
CD4_T	g2	0.0047022798533641	2
CD4_T	g3	0.00818459255490535	2
CD4_T	g4	0.00188498853887895	2
CD4_T	g5	2.2096667605734	2
CD4_T	g6	0.0214264755478941	2
CD4_T	g7	0.0804352406808116	2
CD4_T	g8	0.0083085849834032	2
CD4_T	g9	1.17944926445722	2
CD4_T	g10	0.679713333825839	2
CD4_T	g11	0.00560743006048052	2
CD4_T	g12	0.00272385750520802	2
CD4_T	g13	0.00337886223771219	2
CD4_T	g14	4.80210716887584	2
CD4_T	g15	0.011464812863798	2
CD4_T	g16	0.0113309065638713	2
CD4_T	g17	0.287779217876706	2
CD4_T	g18	3.4662501752265	2
CD4_T	g19	0.0896463427890858	2
CD4_T	g20	0.00405450224092339	2
CD4_T	g21	0.479917199114195	2
CD4_T	g22	4.76524444124035	2
CD4_T	g23	0.319072270907504	2
CD4_T	g24	0.035055542000746	2
CD4_T	g25	1.39066681634469	2
CD4_T	g26	1.31059127179492	2
Treg	g0	0.00584745258302663	1
Treg	g1	3.39926073918137	1
Treg	g2	0	1
Treg	g3	0.0107124144112096	1
Treg	g4	0.00394239829883491	1
Treg	g5	5.51940428282627	1
Treg	g6	0.0319309285356863	1
Treg	g7	0.0803635094284604	1
Treg	g8	0.00437835813155493	1
Treg	g9	5.4743818614114	1
Treg	g10	0.394573428566082	1
Treg	g11	0.00680626769897654	1
Treg	g12	0.0257776585150679	1
Treg	g13	0.0219878971338216	1
Treg	g14	4.72310781476585	1
Treg	g15	0.00369957864607723	1
Treg	g16	0.0132428482509939	1
Treg	g17	0.22355886900755	1
Treg	g18	3.11266328141512	1
Treg	g19	0.0986290756849622	1
Treg	g20	0	1
Treg	g21	1.69387573026616	1
Treg	g22	6.93218210374674	1
